TERM	CLASS	DEFINITION	DEFINITION (DARWIN CORE)	DESCRIPTION	DESCRIPTION (DARWIN CORE)	CONTENT	NOTES	CONTROLLED VOCABULARY	DECISION	REFINES	DECISION DATE	RECOMMENDATION NOTES	NAMESPACE	URI (DARWIN CORE)	URI	LABEL	DATA TYPE	SORT	ISSUED	UPDATED	post_author	post_date	post_content	post_title	post_status	post_name	post_type	identifier	class	definition	description	project	label	refines	status	date_issued	date_modified	version
verbatimLongitude	Location	The verbatim original longitude of the Location. The coordinate ellipsoid, geodeticDatum, or full Spatial Reference System (SRS) for these coordinates should be stored in verbatimSRS and the coordinate system should be stored in verbatimCoordinateSystem.	The verbatim original longitude of the Location. The coordinate ellipsoid, geodeticDatum, or full Spatial Reference System (SRS) for these coordinates should be stored in verbatimSRS and the coordinate system should be stored in verbatimCoordinateSystem.	Example: "121d 10' 34" W"	Example: "121d 10' 34" W"				recommended				Darwin Core	http://rs.tdwg.org/dwc/terms/verbatimLongitude	http://rs.tdwg.org/dwc/terms/verbatimLongitude	Verbatim Longitude	string	179	2015-05-06	2015-05-06	kenny	2015-05-06		verbatimLongitude	publish	verbatimLongitude	ethocore_term	http://rs.tdwg.org/dwc/terms/verbatimLongitude	Location	The verbatim original longitude of the Location. The coordinate ellipsoid, geodeticDatum, or full Spatial Reference System (SRS) for these coordinates should be stored in verbatimSRS and the coordinate system should be stored in verbatimCoordinateSystem.	Example: "121d 10' 34" W"	Darwin Core	Verbatim Longitude		recommended	2015-05-06	2015-05-06	verbatimLongitude-2015-05-06
verbatimSRS	Location	The ellipsoid, geodetic datum, or spatial reference system (SRS) upon which coordinates given in verbatimLatitude and verbatimLongitude, or verbatimCoordinates are based. Recommended best practice is use the EPSG code as a controlled vocabulary to provide an SRS, if known. Otherwise use a controlled vocabulary for the name or code of the geodetic datum, if known. Otherwise use a controlled vocabulary for the name or code of the ellipsoid, if known. If none of these is known, use the value "unknown".	The ellipsoid, geodetic datum, or spatial reference system (SRS) upon which coordinates given in verbatimLatitude and verbatimLongitude, or verbatimCoordinates are based. Recommended best practice is use the EPSG code as a controlled vocabulary to provide an SRS, if known. Otherwise use a controlled vocabulary for the name or code of the geodetic datum, if known. Otherwise use a controlled vocabulary for the name or code of the ellipsoid, if known. If none of these is known, use the value "unknown".	Examples: "EPSG:4326", "WGS84", "NAD27", "Campo Inchauspe", "European 1950", "Clarke 1866"	Examples: "EPSG:4326", "WGS84", "NAD27", "Campo Inchauspe", "European 1950", "Clarke 1866"			EPSG code	recommended				Darwin Core	http://rs.tdwg.org/dwc/terms/verbatimSRS	http://rs.tdwg.org/dwc/terms/verbatimSRS	Verbatim SRS	string	181	2015-05-06	2015-05-06	kenny	2015-05-06		verbatimSRS	publish	verbatimSRS	ethocore_term	http://rs.tdwg.org/dwc/terms/verbatimSRS	Location	The ellipsoid, geodetic datum, or spatial reference system (SRS) upon which coordinates given in verbatimLatitude and verbatimLongitude, or verbatimCoordinates are based. Recommended best practice is use the EPSG code as a controlled vocabulary to provide an SRS, if known. Otherwise use a controlled vocabulary for the name or code of the geodetic datum, if known. Otherwise use a controlled vocabulary for the name or code of the ellipsoid, if known. If none of these is known, use the value "unknown".	Examples: "EPSG:4326", "WGS84", "NAD27", "Campo Inchauspe", "European 1950", "Clarke 1866"	Darwin Core	Verbatim SRS		recommended	2015-05-06	2015-05-06	verbatimSRS-2015-05-06
relatedMedia	MaterialSample	A listing of media filenames and types that are associated with the MaterialSample.					dictionary of associated media filenames and types, e.g., a still image, drawing, audio recording, video recording, handwritten notes; SHOULD INCLUDE BEST PRACTICE FOR FORMATTING THIS		recommended				Ethogrammar		http://ethoinformatics.org/ethocore/relatedMedia	Related Media	string	121	2015-05-06	2015-05-06	kenny	2015-05-06		relatedMedia	publish	relatedMedia	ethocore_term	http://ethoinformatics.org/ethocore/relatedMedia	MaterialSample	A listing of media filenames and types that are associated with the MaterialSample.		Ethogrammar	Related Media		recommended	2015-05-06	2015-05-06	relatedMedia-2015-05-06
materialSampleID	MaterialSample	An identifier for the MaterialSample (as opposed to a particular digital record of the material sample). In the absence of a persistent global unique identifier, construct one from a combination of identifiers in the record that will most closely make the materialSampleID globally unique.	An identifier for the MaterialSample (as opposed to a particular digital record of the material sample). In the absence of a persistent global unique identifier, construct one from a combination of identifiers in the record that will most closely make the materialSampleID globally unique.						recommended				Darwin Core	http://rs.tdwg.org/dwc/terms/materialSampleID	http://rs.tdwg.org/dwc/terms/materialSampleID	Material Sample ID	URI, URL, DOI	118	2015-05-06	2015-05-06	kenny	2015-05-06		materialSampleID	publish	materialSampleID	ethocore_term	http://rs.tdwg.org/dwc/terms/materialSampleID	MaterialSample	An identifier for the MaterialSample (as opposed to a particular digital record of the material sample). In the absence of a persistent global unique identifier, construct one from a combination of identifiers in the record that will most closely make the materialSampleID globally unique.		Darwin Core	Material Sample ID		recommended	2015-05-06	2015-05-06	materialSampleID-2015-05-06
materialSampleRemarks	MaterialSample	Comments or notes about the MaterialSample.							recommended				Ethogrammar		http://ethoinformatics.org/ethocore/materialSampleRemarks	Material Sample Remarks	string	122	2015-05-06	2015-05-06	kenny	2015-05-06		materialSampleRemarks	publish	materialSampleRemarks	ethocore_term	http://ethoinformatics.org/ethocore/materialSampleRemarks	MaterialSample	Comments or notes about the MaterialSample.		Ethogrammar	Material Sample Remarks		recommended	2015-05-06	2015-05-06	materialSampleRemarks-2015-05-06
materialSampleType	MaterialSample	The type of physical material represented by the MaterialSample. Recommended best practice is to use a controlled vocabulary.		Examples: "feces", "buffy coat", "left upper dental cast", "carcass"			Definition needs some work	Ethogrammar Material Sample Types	recommended				Ethogrammar		http://ethoinformatics.org/ethocore/materialSampleType	Material Sample Type	string	119	2015-05-06	2015-05-06	kenny	2015-05-06		materialSampleType	publish	materialSampleType	ethocore_term	http://ethoinformatics.org/ethocore/materialSampleType	MaterialSample	The type of physical material represented by the MaterialSample. Recommended best practice is to use a controlled vocabulary.	Examples: "feces", "buffy coat", "left upper dental cast", "carcass"	Ethogrammar	Material Sample Type		recommended	2015-05-06	2015-05-06	materialSampleType-2015-05-06
measurementAccuracy	MeasurementOrFact	The description of the potential error associated with the measurementValue.	The description of the potential error associated with the measurementValue.	Examples: "0.01", "normal distribution with variation of 2 m"	Examples: "0.01", "normal distribution with variation of 2 m"				recommended				Darwin Core	http://rs.tdwg.org/dwc/terms/measurementAccuracy	http://rs.tdwg.org/dwc/terms/measurementAccuracy	Measurement Accuracy	string	78	2015-05-06	2015-05-06	kenny	2015-05-06		measurementAccuracy	publish	measurementAccuracy	ethocore_term	http://rs.tdwg.org/dwc/terms/measurementAccuracy	MeasurementOrFact	The description of the potential error associated with the measurementValue.	Examples: "0.01", "normal distribution with variation of 2 m"	Darwin Core	Measurement Accuracy		recommended	2015-05-06	2015-05-06	measurementAccuracy-2015-05-06
measurementDeterminedBy	MeasurementOrFact	A list (concatenated and separated) of names of people, groups, or organizations who determined the value of the MeasurementOrFact.	A list (concatenated and separated) of names of people, groups, or organizations who determined the value of the MeasurementOrFact.	Examples: "Javier de la Torre", "Julie Woodruff; Eileen Lacey"	Examples: "Javier de la Torre", "Julie Woodruff; Eileen Lacey"		This is a Darwin Core definition. Ethogrammar makes more use of IDs, but these could be concatenated and separated as well as a compromise between the two concepts. How we treat this should be consistent for other "determined by" type terms.		recommended				Darwin Core	http://rs.tdwg.org/dwc/terms/measurementDeterminedBy	http://rs.tdwg.org/dwc/terms/measurementDeterminedBy	Measurement Determined By	string	80	2015-05-06	2015-05-06	kenny	2015-05-06		measurementDeterminedBy	publish	measurementDeterminedBy	ethocore_term	http://rs.tdwg.org/dwc/terms/measurementDeterminedBy	MeasurementOrFact	A list (concatenated and separated) of names of people, groups, or organizations who determined the value of the MeasurementOrFact.	Examples: "Javier de la Torre", "Julie Woodruff; Eileen Lacey"	Darwin Core	Measurement Determined By		recommended	2015-05-06	2015-05-06	measurementDeterminedBy-2015-05-06
measurementID	MeasurementOrFact	An identifier for the MeasurementOrFact (information pertaining to measurements, facts, characteristics, or assertions). May be a global unique identifier or an identifier specific to the data set.	An identifier for the MeasurementOrFact (information pertaining to measurements, facts, characteristics, or assertions). May be a global unique identifier or an identifier specific to the data set.						recommended				Darwin Core	http://rs.tdwg.org/dwc/terms/measurementID	http://rs.tdwg.org/dwc/terms/measurementID	Measurement ID	URI, URL, DOI	74	2015-05-06	2015-05-06	kenny	2015-05-06		measurementID	publish	measurementID	ethocore_term	http://rs.tdwg.org/dwc/terms/measurementID	MeasurementOrFact	An identifier for the MeasurementOrFact (information pertaining to measurements, facts, characteristics, or assertions). May be a global unique identifier or an identifier specific to the data set.		Darwin Core	Measurement ID		recommended	2015-05-06	2015-05-06	measurementID-2015-05-06
measurementInstrument	MeasurementOrFact	The instrument used to perform a measurement. Recommended best practice is to use a controlled vocabulary.		Examples: "measuring tape", "digital thermometer", "1000 ml graduated cylinder", "spectrophotometer"				Ethogrammar Measurement Instruments	recommended				Ethogrammar		http://ethoinformatics.org/ethocore/measurementInstrument	Measurement Instrument	string	83	2015-05-06	2015-05-06	kenny	2015-05-06		measurementInstrument	publish	measurementInstrument	ethocore_term	http://ethoinformatics.org/ethocore/measurementInstrument	MeasurementOrFact	The instrument used to perform a measurement. Recommended best practice is to use a controlled vocabulary.	Examples: "measuring tape", "digital thermometer", "1000 ml graduated cylinder", "spectrophotometer"	Ethogrammar	Measurement Instrument		recommended	2015-05-06	2015-05-06	measurementInstrument-2015-05-06
measurementMethod	MeasurementOrFact	A description of or reference to (publication, URI) the method or protocol used to determine the measurement, fact, characteristic, or assertion.	A description of or reference to (publication, URI) the method or protocol used to determine the measurement, fact, characteristic, or assertion.	Examples: "minimum convex polygon around burrow entrances" for a home range area, "barometric altimeter" for an elevation	Examples: "minimum convex polygon around burrow entrances" for a home range area, "barometric altimeter" for an elevation				recommended				Darwin Core	http://rs.tdwg.org/dwc/terms/measurementMethod	http://rs.tdwg.org/dwc/terms/measurementMethod	Measurement Method	string	82	2015-05-06	2015-05-06	kenny	2015-05-06		measurementMethod	publish	measurementMethod	ethocore_term	http://rs.tdwg.org/dwc/terms/measurementMethod	MeasurementOrFact	A description of or reference to (publication, URI) the method or protocol used to determine the measurement, fact, characteristic, or assertion.	Examples: "minimum convex polygon around burrow entrances" for a home range area, "barometric altimeter" for an elevation	Darwin Core	Measurement Method		recommended	2015-05-06	2015-05-06	measurementMethod-2015-05-06
measurementRemarks	MeasurementOrFact	Comments or notes accompanying the measurement, fact, characterstic, or assertion.	Comments or notes accompanying the MeasurementOrFact.	Example: "tip of tail missing"	Example: "tip of tail missing"				recommended				Darwin Core	http://rs.tdwg.org/dwc/terms/measurementRemarks	http://rs.tdwg.org/dwc/terms/measurementRemarks	Measurement Remarks	string	84	2015-05-06	2015-05-06	kenny	2015-05-06		measurementRemarks	publish	measurementRemarks	ethocore_term	http://rs.tdwg.org/dwc/terms/measurementRemarks	MeasurementOrFact	Comments or notes accompanying the measurement, fact, characterstic, or assertion.	Example: "tip of tail missing"	Darwin Core	Measurement Remarks		recommended	2015-05-06	2015-05-06	measurementRemarks-2015-05-06
measurementType	MeasurementOrFact	The nature of the measurement, fact, characteristic, or assertion. Recommended best practice is to use a controlled vocabulary.	The nature of the measurement, fact, characteristic, or assertion. Recommended best practice is to use a controlled vocabulary.	Examples: "tail length", "temperature", "trap line length", "survey area", "trap type"	Examples: "tail length", "temperature", "trap line length", "survey area", "trap type"			Ethogrammar Measurement Types	recommended				Darwin Core	http://rs.tdwg.org/dwc/terms/measurementType	http://rs.tdwg.org/dwc/terms/measurementType	Measurement Type	string	75	2015-05-06	2015-05-06	kenny	2015-05-06		measurementType	publish	measurementType	ethocore_term	http://rs.tdwg.org/dwc/terms/measurementType	MeasurementOrFact	The nature of the measurement, fact, characteristic, or assertion. Recommended best practice is to use a controlled vocabulary.	Examples: "tail length", "temperature", "trap line length", "survey area", "trap type"	Darwin Core	Measurement Type		recommended	2015-05-06	2015-05-06	measurementType-2015-05-06
measurementUnit	MeasurementOrFact	The units associated with the measurementValue. Recommended best practice is to use the International System of Units (SI).	The units associated with the measurementValue. Recommended best practice is to use the International System of Units (SI).	Examples: "mm", "C", "km", "ha"	Examples: "mm", "C", "km", "ha"			International System of Units (SI)	recommended				Darwin Core	http://rs.tdwg.org/dwc/terms/measurementUnit	http://rs.tdwg.org/dwc/terms/measurementUnit	Measurement Unit	string	79	2015-05-06	2015-05-06	kenny	2015-05-06		measurementUnit	publish	measurementUnit	ethocore_term	http://rs.tdwg.org/dwc/terms/measurementUnit	MeasurementOrFact	The units associated with the measurementValue. Recommended best practice is to use the International System of Units (SI).	Examples: "mm", "C", "km", "ha"	Darwin Core	Measurement Unit		recommended	2015-05-06	2015-05-06	measurementUnit-2015-05-06
measurementValue	MeasurementOrFact	The value of the measurement, fact, characteristic, or assertion.	The value of the measurement, fact, characteristic, or assertion.	Examples: "45", "20", "1", "14.5", "UV-light"	Examples: "45", "20", "1", "14.5", "UV-light"				recommended				Darwin Core	http://rs.tdwg.org/dwc/terms/measurementValue	http://rs.tdwg.org/dwc/terms/measurementValue	Measurement Value	string	77	2015-05-06	2015-05-06	kenny	2015-05-06		measurementValue	publish	measurementValue	ethocore_term	http://rs.tdwg.org/dwc/terms/measurementValue	MeasurementOrFact	The value of the measurement, fact, characteristic, or assertion.	Examples: "45", "20", "1", "14.5", "UV-light"	Darwin Core	Measurement Value		recommended	2015-05-06	2015-05-06	measurementValue-2015-05-06
observationValue	Observation	The value of the observation being made.		Examples: "foraging", "pregnant", "in proximity"				Ethogrammar Ethogram; Ethogrammar Reproductive Conditions; Ethogrammar Life Stages	recommended		5/3/2015		Ethogrammar		http://ethoinformatics.org/ethocore/observationValue	Observation Value	string	64	2015-05-06	2015-05-06	kenny	2015-05-06		observationValue	publish	observationValue	ethocore_term	http://ethoinformatics.org/ethocore/observationValue	Observation	The value of the observation being made.	Examples: "foraging", "pregnant", "in proximity"	Ethogrammar	Observation Value		recommended	2015-05-06	2015-05-06	observationValue-2015-05-06
observationID	Observation	An identifier for the Observation. May be a global unique identifier or an identifier specific to the data set.							recommended				Ethogrammar		http://ethoinformatics.org/ethocore/observationID	Observation ID	URI, URL, DOI	61	2015-05-06	2015-05-06	kenny	2015-05-06		observationID	publish	observationID	ethocore_term	http://ethoinformatics.org/ethocore/observationID	Observation	An identifier for the Observation. May be a global unique identifier or an identifier specific to the data set.		Ethogrammar	Observation ID		recommended	2015-05-06	2015-05-06	observationID-2015-05-06
observationRemarks	Observation	Comments or notes about the Observation.							recommended				Ethogrammar		http://ethoinformatics.org/ethocore/observationRemarks	Observation Remarks	string	73	2015-05-06	2015-05-06	kenny	2015-05-06		observationRemarks	publish	observationRemarks	ethocore_term	http://ethoinformatics.org/ethocore/observationRemarks	Observation	Comments or notes about the Observation.		Ethogrammar	Observation Remarks		recommended	2015-05-06	2015-05-06	observationRemarks-2015-05-06
observationType	Observation	The type of Observation being made. Recommended best practice is to use a controlled vocabulary.		Examples: "focal observation", "group activity", "nearest neighbor", "contact", "indirect sign", "ad libitum"			for indirect sign, include in remarks details about probable age of sign, what type of sign (e.g., scat, scratch, chewed fruits)	Ethogrammar Observation Types	recommended			STILL CONTEMPLATING	Ethogrammar		http://ethoinformatics.org/ethocore/observationType	Observation Type	string	62	2015-05-06	2015-05-06	kenny	2015-05-06		observationType	publish	observationType	ethocore_term	http://ethoinformatics.org/ethocore/observationType	Observation	The type of Observation being made. Recommended best practice is to use a controlled vocabulary.	Examples: "focal observation", "group activity", "nearest neighbor", "contact", "indirect sign", "ad libitum"	Ethogrammar	Observation Type		recommended	2015-05-06	2015-05-06	observationType-2015-05-06
observedBy	Observation	A list (concatenated and separated) of names of people, groups, or organizations who determined the value of the Observation.		The recommended best practice is to separate multiple values with a vertical bar (' | ').					recommended				Ethogrammar		http://ethoinformatics.org/ethocore/observedBy	Observed By	string	71	2015-05-06	2015-05-06	kenny	2015-05-06		observedBy	publish	observedBy	ethocore_term	http://ethoinformatics.org/ethocore/observedBy	Observation	A list (concatenated and separated) of names of people, groups, or organizations who determined the value of the Observation.	The recommended best practice is to separate multiple values with a vertical bar (' | ').	Ethogrammar	Observed By		recommended	2015-05-06	2015-05-06	observedBy-2015-05-06
basisOfRecord	RecordLevel	The specific nature of the data record. Recommended best practice is to use a controlled vocabulary.	The specific nature of the data record.	Recommended best practice is to use a controlled vocabulary such as the list of Darwin Core classes. Examples: "PreservedSpecimen", "FossilSpecimen", "LivingSpecimen", "HumanObservation", "MachineObservation".	Recommended best practice is to use a controlled vocabulary such as the list of Darwin Core classes. Examples: "PreservedSpecimen", "FossilSpecimen", "LivingSpecimen", "HumanObservation", "MachineObservation".		It may be useful for BEHAVIOR projects to divide LivingSpecimen into "PhysicalExamination" and "RemoteExamination"	Ethogrammar Bases of Records	recommended				Darwin Core	http://rs.tdwg.org/dwc/terms/basisOfRecord	http://rs.tdwg.org/dwc/terms/basisOfRecord	Basis of Record		38	2015-05-06	2015-05-06	kenny	2015-05-06		basisOfRecord	publish	basisOfRecord	ethocore_term	http://rs.tdwg.org/dwc/terms/basisOfRecord	RecordLevel	The specific nature of the data record. Recommended best practice is to use a controlled vocabulary.	Recommended best practice is to use a controlled vocabulary such as the list of Darwin Core classes. Examples: "PreservedSpecimen", "FossilSpecimen", "LivingSpecimen", "HumanObservation", "MachineObservation".	Darwin Core	Basis of Record		recommended	2015-05-06	2015-05-06	basisOfRecord-2015-05-06
collectionCode	RecordLevel	The name, acronym, coden, or initialism identifying the collection or data set from which the record was derived.	The name, acronym, coden, or initialism identifying the collection or data set from which the record was derived.	Examples: "Mammals", "Hildebrandt", "eBird".	Examples: "Mammals", "Hildebrandt", "eBird".				recommended				Darwin Core	http://rs.tdwg.org/dwc/terms/collectionCode	http://rs.tdwg.org/dwc/terms/collectionCode	Collection Code		35	2015-05-06	2015-05-06	kenny	2015-05-06		collectionCode	publish	collectionCode	ethocore_term	http://rs.tdwg.org/dwc/terms/collectionCode	RecordLevel	The name, acronym, coden, or initialism identifying the collection or data set from which the record was derived.	Examples: "Mammals", "Hildebrandt", "eBird".	Darwin Core	Collection Code		recommended	2015-05-06	2015-05-06	collectionCode-2015-05-06
collectionID	RecordLevel	An identifier for the collection or dataset from which the record was derived.	An identifier for the collection or dataset from which the record was derived.	For physical specimens, the recommended best practice is to use an identifier from a collections registry such as the Global Registry of Biodiversity Repositories (http://grbio.org/). Examples: "http://biocol.org/urn:lsid:biocol.org:col:1001", "http://grbio.org/cool/p5fp-c036). Examples: "http://biocol.org/urn:lsid:biocol.org:col:1001", "http://grbio.org/cool/p5fp-c036".	For physical specimens, the recommended best practice is to use an identifier from a collections registry such as the Global Registry of Biodiversity Repositories (http://grbio.org/). Examples: "http://biocol.org/urn:lsid:biocol.org:col:1001", "http://grbio.org/cool/p5fp-c036). Examples: "http://biocol.org/urn:lsid:biocol.org:col:1001", "http://grbio.org/cool/p5fp-c036".				recommended				Darwin Core	http://rs.tdwg.org/dwc/terms/collectionID	http://rs.tdwg.org/dwc/terms/collectionID	Collection ID		32	2015-05-06	2015-05-06	kenny	2015-05-06		collectionID	publish	collectionID	ethocore_term	http://rs.tdwg.org/dwc/terms/collectionID	RecordLevel	An identifier for the collection or dataset from which the record was derived.	For physical specimens, the recommended best practice is to use an identifier from a collections registry such as the Global Registry of Biodiversity Repositories (http://grbio.org/). Examples: "http://biocol.org/urn:lsid:biocol.org:col:1001", "http://grbio.org/cool/p5fp-c036). Examples: "http://biocol.org/urn:lsid:biocol.org:col:1001", "http://grbio.org/cool/p5fp-c036".	Darwin Core	Collection ID		recommended	2015-05-06	2015-05-06	collectionID-2015-05-06
dataGeneralizations	RecordLevel	Actions taken to make the shared data less specific or complete than in its original form. Suggests that alternative data of higher quality may be available on request.	Actions taken to make the shared data less specific or complete than in its original form. Suggests that alternative data of higher quality may be available on request.	Example: "Coordinates generalized from original GPS coordinates to the nearest half degree grid cell".	Example: "Coordinates generalized from original GPS coordinates to the nearest half degree grid cell".				recommended				Darwin Core	http://rs.tdwg.org/dwc/terms/dataGeneralizations	http://rs.tdwg.org/dwc/terms/dataGeneralizations	Data Generalizations		40	2015-05-06	2015-05-06	kenny	2015-05-06		dataGeneralizations	publish	dataGeneralizations	ethocore_term	http://rs.tdwg.org/dwc/terms/dataGeneralizations	RecordLevel	Actions taken to make the shared data less specific or complete than in its original form. Suggests that alternative data of higher quality may be available on request.	Example: "Coordinates generalized from original GPS coordinates to the nearest half degree grid cell".	Darwin Core	Data Generalizations		recommended	2015-05-06	2015-05-06	dataGeneralizations-2015-05-06
datasetID	RecordLevel	An identifier for the set of data. May be a global unique identifier or an identifier specific to a collection or institution.	An identifier for the set of data. May be a global unique identifier or an identifier specific to a collection or institution.						recommended				Darwin Core	http://rs.tdwg.org/dwc/terms/datasetID	http://rs.tdwg.org/dwc/terms/datasetID	Dataset ID		33	2015-05-06	2015-05-06	kenny	2015-05-06		datasetID	publish	datasetID	ethocore_term	http://rs.tdwg.org/dwc/terms/datasetID	RecordLevel	An identifier for the set of data. May be a global unique identifier or an identifier specific to a collection or institution.		Darwin Core	Dataset ID		recommended	2015-05-06	2015-05-06	datasetID-2015-05-06
datasetName	RecordLevel	The name identifying the data set from which the record was derived.	The name identifying the data set from which the record was derived.	Examples: "Grinnell Resurvey Mammals", "Lacey Ctenomys Recaptures".	Examples: "Grinnell Resurvey Mammals", "Lacey Ctenomys Recaptures".				recommended				Darwin Core	http://rs.tdwg.org/dwc/terms/datasetName	http://rs.tdwg.org/dwc/terms/datasetName	Dataset Name		36	2015-05-06	2015-05-06	kenny	2015-05-06		datasetName	publish	datasetName	ethocore_term	http://rs.tdwg.org/dwc/terms/datasetName	RecordLevel	The name identifying the data set from which the record was derived.	Examples: "Grinnell Resurvey Mammals", "Lacey Ctenomys Recaptures".	Darwin Core	Dataset Name		recommended	2015-05-06	2015-05-06	datasetName-2015-05-06
accessRights	RecordLevel	Information about who can access the resource or an indication of its security status. Access Rights may include information regarding access or restrictions based on privacy, security, or other policies.	Information about who can access the resource or an indication of its security status. Access Rights may include information regarding access or restrictions based on privacy, security, or other policies.	Example: "not-for-profit use only".	Example: "not-for-profit use only".				recommended				Darwin Core	http://purl.org/dc/terms/accessRights	http://purl.org/dc/terms/accessRights	Access Rights		28	2015-05-06	2015-05-06	kenny	2015-05-06		accessRights	publish	accessRights	ethocore_term	http://purl.org/dc/terms/accessRights	RecordLevel	Information about who can access the resource or an indication of its security status. Access Rights may include information regarding access or restrictions based on privacy, security, or other policies.	Example: "not-for-profit use only".	Darwin Core	Access Rights		recommended	2015-05-06	2015-05-06	accessRights-2015-05-06
bibliographicCitation	RecordLevel	A bibliographic reference for the resource as a statement indicating how this record should be cited (attributed) when used. Recommended practice is to include sufficient bibliographic detail to identify the resource as unambiguously as possible.	A bibliographic reference for the resource as a statement indicating how this record should be cited (attributed) when used. Recommended practice is to include sufficient bibliographic detail to identify the resource as unambiguously as possible.	Examples: "Ctenomys sociabilis (MVZ 165861)" for a specimen, "Oliver P. Pearson. 1985. Los tuco-tucos (genera Ctenomys) de los Parques Nacionales Lanin y Nahuel Huapi, Argentina Historia Natural, 5(37):337-343." for a Taxon.	Examples: "Ctenomys sociabilis (MVZ 165861)" for a specimen, "Oliver P. Pearson. 1985. Los tuco-tucos (genera Ctenomys) de los Parques Nacionales Lanin y Nahuel Huapi, Argentina Historia Natural, 5(37):337-343." for a Taxon.				recommended				Darwin Core	http://purl.org/dc/terms/bibliographicCitation	http://purl.org/dc/terms/bibliographicCitation	Bibliographic Citation		29	2015-05-06	2015-05-06	kenny	2015-05-06		bibliographicCitation	publish	bibliographicCitation	ethocore_term	http://purl.org/dc/terms/bibliographicCitation	RecordLevel	A bibliographic reference for the resource as a statement indicating how this record should be cited (attributed) when used. Recommended practice is to include sufficient bibliographic detail to identify the resource as unambiguously as possible.	Examples: "Ctenomys sociabilis (MVZ 165861)" for a specimen, "Oliver P. Pearson. 1985. Los tuco-tucos (genera Ctenomys) de los Parques Nacionales Lanin y Nahuel Huapi, Argentina Historia Natural, 5(37):337-343." for a Taxon.	Darwin Core	Bibliographic Citation		recommended	2015-05-06	2015-05-06	bibliographicCitation-2015-05-06
language	RecordLevel	A language of the resource. Recommended best practice is to use a controlled vocabulary such as RFC 4646 [RFC4646].	A language of the resource. Recommended best practice is to use a controlled vocabulary such as RFC 4646 [RFC4646].	Examples: "en" for English, "es" for Spanish.	Examples: "en" for English, "es" for Spanish.			RFC 4646	recommended				Darwin Core	http://purl.org/dc/terms/language	http://purl.org/dc/terms/language	Language		25	2015-05-06	2015-05-06	kenny	2015-05-06		language	publish	language	ethocore_term	http://purl.org/dc/terms/language	RecordLevel	A language of the resource. Recommended best practice is to use a controlled vocabulary such as RFC 4646 [RFC4646].	Examples: "en" for English, "es" for Spanish.	Darwin Core	Language		recommended	2015-05-06	2015-05-06	language-2015-05-06
license	RecordLevel	A legal document giving official permission to do something with the resource.	A legal document giving official permission to do something with the resource.	Examples: "http://creativecommons.org/publicdomain/zero/1.0/legalcode", "http://creativecommons.org/licenses/by/4.0/legalcode".	Examples: "http://creativecommons.org/publicdomain/zero/1.0/legalcode", "http://creativecommons.org/licenses/by/4.0/legalcode".				recommended				Darwin Core	http://purl.org/dc/terms/license	http://purl.org/dc/terms/license	License		26	2015-05-06	2015-05-06	kenny	2015-05-06		license	publish	license	ethocore_term	http://purl.org/dc/terms/license	RecordLevel	A legal document giving official permission to do something with the resource.	Examples: "http://creativecommons.org/publicdomain/zero/1.0/legalcode", "http://creativecommons.org/licenses/by/4.0/legalcode".	Darwin Core	License		recommended	2015-05-06	2015-05-06	license-2015-05-06
modified	RecordLevel	The most recent date-time on which the resource was changed.	The most recent date-time on which the resource was changed.	Examples: "1963-03-08T14:07-0600" is 8 Mar 1963 2:07pm in the time zone six hours earlier than UTC, "2009-02-20T08:40Z" is 20 Feb 2009 8:40am UTC, "1809-02-12" is 12 Feb 1809, "1906-06" is Jun 1906, "1971" is just that year, "2007-03-01T13:00:00Z/2008-05-11T15:30:00Z" is the interval between 1 Mar 2007 1pm UTC and 11 May 2008 3:30pm UTC, "2007-11-13/15" is the interval between 13 Nov 2007 and 15 Nov 2007.	Examples: "1963-03-08T14:07-0600" is 8 Mar 1963 2:07pm in the time zone six hours earlier than UTC, "2009-02-20T08:40Z" is 20 Feb 2009 8:40am UTC, "1809-02-12" is 12 Feb 1809, "1906-06" is Jun 1906, "1971" is just that year, "2007-03-01T13:00:00Z/2008-05-11T15:30:00Z" is the interval between 1 Mar 2007 1pm UTC and 11 May 2008 3:30pm UTC, "2007-11-13/15" is the interval between 13 Nov 2007 and 15 Nov 2007.				recommended				Darwin Core	http://purl.org/dc/terms/modified	http://purl.org/dc/terms/modified	Modified		24	2015-05-06	2015-05-06	kenny	2015-05-06		modified	publish	modified	ethocore_term	http://purl.org/dc/terms/modified	RecordLevel	The most recent date-time on which the resource was changed.	Examples: "1963-03-08T14:07-0600" is 8 Mar 1963 2:07pm in the time zone six hours earlier than UTC, "2009-02-20T08:40Z" is 20 Feb 2009 8:40am UTC, "1809-02-12" is 12 Feb 1809, "1906-06" is Jun 1906, "1971" is just that year, "2007-03-01T13:00:00Z/2008-05-11T15:30:00Z" is the interval between 1 Mar 2007 1pm UTC and 11 May 2008 3:30pm UTC, "2007-11-13/15" is the interval between 13 Nov 2007 and 15 Nov 2007.	Darwin Core	Modified		recommended	2015-05-06	2015-05-06	modified-2015-05-06
